,nom,public_prive,commune,departement,ips,taux_mention_bien+
250,DESCARTES,PUBLIC,LE BLANC-MESNIL,SEINE-SAINT-DENIS,72.0,32.7
251,SIMONE SIGNORET,PUBLIC,BELFORT,TERRITOIRE DE BELFORT,72.0,33.9
252,PIERRE MENDES FRANCE,PUBLIC,LA ROCHELLE,CHARENTE-MARITIME,72.0,32.9
253,LES PERSEVERANTS,PRIVE,BASSE-TERRE,GUADELOUPE,72.0,30.2
254,PUITS DE LA LOIRE,PUBLIC,SAINT-ETIENNE,LOIRE,72.0,43.8
255,PAUL-EMILE VICTOR,PUBLIC,RILLIEUX-LA-PAPE,RHONE,72.1,34.5
256,JEAN LURCAT,PUBLIC,SAINT-DENIS,SEINE-SAINT-DENIS,72.1,28.8
257,JOSEPH HO TEN YOU,PUBLIC,KOUROU,GUYANE,72.1,15.8
258,GUSTAVE COURBET,PUBLIC,PIERREFITTE-SUR-SEINE,SEINE-SAINT-DENIS,72.2,35.1
259,JEAN MACE,PUBLIC,BRUAY-SUR-L'ESCAUT,NORD,72.2,37.6
260,ALSACE CORRE,PUBLIC,CILAOS,LA REUNION,72.2,35.7
261,LUCIE AUBRAC,PUBLIC,TOURCOING,NORD,72.3,28.2
262,ANGELLIER,PUBLIC,BOULOGNE-SUR-MER,PAS-DE-CALAIS,72.3,35.3
263,BOURTZWILLER,PUBLIC,MULHOUSE,HAUT-RHIN,72.3,22.2
264,JEAN ROSTAND,PUBLIC,ORLEANS,LOIRET,72.3,37.0
265,LANGEVIN-WALLON,PUBLIC,GRENAY,PAS-DE-CALAIS,72.4,36.6
266,MARCEL PAGNOL,PUBLIC,PIERRE-BENITE,RHONE,72.4,35.4
267,PABLO NERUDA,PUBLIC,GRIGNY,ESSONNE,72.4,28.7
268,LAMARTINE,PUBLIC,VILLEURBANNE,RHONE,72.6,42.5
269,BELSUNCE,PRIVE,MARSEILLE  2E  ARRONDISSEMENT,BOUCHES-DU-RHONE,72.6,31.7
270,RENE DESCARTES,PUBLIC,LOOS,NORD,72.6,40.6
271,ROBERT SCHUMAN,PUBLIC,HOMBOURG-HAUT,MOSELLE,72.7,58.9
272,JEAN MOULIN,PUBLIC,LE HAVRE,SEINE MARITIME,72.7,33.5
273,ANDRE CHENIER,PUBLIC,MANTES-LA-JOLIE,YVELINES,72.8,15.3
274,EVARISTE GALOIS,PUBLIC,SEVRAN,SEINE-SAINT-DENIS,72.8,37.0
275,HENRI FABRE,PUBLIC,VITROLLES,BOUCHES-DU-RHONE,72.8,34.1
276,PIERRE SIMON DE LAPLACE,PUBLIC,LISIEUX,CALVADOS,72.8,27.5
277,ALBERT ROUSSEL,PUBLIC,TOURCOING,NORD,72.8,30.0
278,ERASME,PUBLIC,STRASBOURG,BAS-RHIN,72.9,31.2
279,JEAN MERMOZ,PUBLIC,LYON  8E  ARRONDISSEMENT,RHONE,72.9,26.6
280,MADAME DE SEVIGNE,PUBLIC,PERPIGNAN,PYRENEES-ORIENTALES,73.0,36.7
281,JULES VALLES,PUBLIC,LE HAVRE,SEINE MARITIME,73.0,29.7
282,LUCIE AUBRAC,PUBLIC,DUNKERQUE,NORD,73.1,46.9
283,LES ESCHOLIERS DE LA MOSSON,PUBLIC,MONTPELLIER,HERAULT,73.1,36.6
284,JOSEPH PITAT,PUBLIC,BASSE-TERRE,GUADELOUPE,73.2,34.3
285,JEAN VILAR,PUBLIC,VILLETANEUSE,SEINE-SAINT-DENIS,73.2,33.5
286,JEAN VILAR,PUBLIC,ECHIROLLES,ISERE,73.2,23.5
287,ALAIN-FOURNIER,PUBLIC,LE MANS,SARTHE,73.2,37.2
288,PIERRE VALDO,PUBLIC,VAULX-EN-VELIN,RHONE,73.2,41.2
289,SEVIGNE,PUBLIC,AUCHEL,PAS-DE-CALAIS,73.3,33.8
290,SOPHIE GERMAIN,PUBLIC,STRASBOURG,BAS-RHIN,73.3,35.7
291,SIMONE VEIL,PUBLIC,NICE,ALPES-MARITIMES,73.4,25.2
292,DE M'GOMBANI,PUBLIC,MAMOUDZOU,MAYOTTE,73.4,22.4
293,PAUL KAPEL,PUBLIC,CAYENNE,GUYANE,73.4,23.5
